"ID_REF"	"GSM5019817"	"GSM5019818"	"GSM5019819"	"GSM5019820"	"GSM5019821"	"GSM5019822"	"GSM5019823"	"GSM5019824"	"GSM5019825"	"GSM5019826"	"GSM5019827"	"GSM5019828"	"GSM5019829"	"GSM5019830"	"GSM5019831"
"ASHG19AP1B100006779V5"	3.8143873	2.720844	2.466728	2.3339167	2.8039112	4.0923715	3.5344133	3.1905472	3.5445392	3.4344003	5.744566	6.1918187	5.7703285	5.8935313	4.391992
"ASHG19AP1B100006970V5"	9.152902	10.063992	6.690656	6.414488	9.73482	7.9608536	8.620819	7.9973216	8.591699	8.774397	7.2449274	7.140427	6.906598	7.5064983	7.7297072
"ASHG19AP1B100007018V5"	7.3063283	6.58219	7.48384	7.2022014	6.1263876	6.2076783	6.9312625	6.0964365	7.3877945	7.1729407	6.920622	7.039741	7.0846767	6.9243217	6.837276
"ASHG19AP1B100007073V5"	2.7037127	2.33273	2.466728	2.8464208	2.3352275	4.028732	3.8580616	3.9398236	3.4302704	3.0281925	5.1908937	2.745772	5.1499662	4.6061387	4.1931276
"ASHG19AP1B100007262V5"	12.642472	8.422121	8.404515	8.423847	8.819069	10.897464	10.816814	10.130164	10.635447	8.860322	12.028904	11.738358	12.455456	11.999906	11.533853
"ASHG19AP1B100007370V5"	2.7037127	4.64274	3.8863287	4.138383	4.7955422	3.1409113	3.2333732	3.1132576	4.054514	3.3927257	2.814921	2.745772	4.1878653	2.7479913	3.425408
"ASHG19AP1B100007395V5"	2.7037127	4.8395376	3.456567	3.7499924	5.076402	2.759086	3.0221364	2.6743553	3.658629	3.542394	2.814921	2.745772	2.6201525	2.7479913	2.481477
"ASHG19AP1B100007396V5"	2.7037127	3.7873974	2.466728	3.1757526	4.115685	2.766837	3.0110943	2.7172189	3.5336673	3.0055985	2.814921	2.745772	2.6201525	2.7479913	2.5908294
"ASHG19AP1B100007403V5"	5.4378133	5.1661696	5.105791	5.3615255	5.314475	5.088223	5.7123857	5.0630145	5.5432353	5.252786	4.919619	5.321309	5.3925567	5.190095	5.6605787
"ASHG19AP1B100007421V5"	7.779821	7.9754834	7.559036	7.1499653	7.950883	7.8801312	7.0505176	7.5168114	8.270364	7.8770857	7.6785445	6.9131227	5.7729497	6.5033455	5.831499
